Time (s),Channel 7,Channel 5,Channel 6,Channel 8,Channel 25,Channel 23,Channel 24,Channel 26,Channel 27,Channel 1,Channel 2,Channel 14,Channel 16,Channel 17
3.1000000000e+001,1.4469775085e+001,2.6994396406e+000,6.4419357454e+000,3.8120999751e+000,1.0099670502e+001,1.3695575701e+001,1.2460346435e+001,7.3007701623e+000,8.7692757304e+000,8.0366763363e+000,5.4024943762e+000,6.7090448134e+000,1.1125297993e+004,1.6899070039e+001
3.1500000000e+001,1.6509920395e+001,2.9402092889e+000,6.8088173288e+000,4.5494412321e+000,4.9280193538e+000,9.2419005503e+000,1.0918185632e+001,5.9560510093e+000,8.7477665480e+000,7.4610181900e+000,6.0007347598e+000,8.3881401808e+000,1.2842038975e+004,2.1583079722e+001
3.2000000000e+001,1.1655102939e+001,4.9957805256e+000,7.4710956630e+000,4.0486538430e+000,1.0892845607e+001,1.3069182106e+001,1.6522426146e+001,7.0162459337e+000,1.7243234385e+001,1.6336699880e+001,1.1491731216e+001,6.3953753497e+000,7.7919038018e+003,1.2826535447e+001
3.2500000000e+001,1.5530842122e+001,3.2441920430e+000,6.2953930198e+000,3.8563273526e+000,9.6105744448e+000,1.0835712786e+001,1.8365357280e+001,4.8260247336e+000,9.1236603460e+000,7.3430379621e+000,6.9615584767e+000,9.5926980313e+000,5.2441096501e+003,2.2769633893e+001
3.3000000000e+001,1.6453331352e+001,3.5337759234e+000,7.4330787786e+000,4.1285480482e+000,9.1930250025e+000,1.1004843008e+001,2.1170988266e+001,4.4528205314e+000,1.1827611152e+001,1.2488781136e+001,8.0731210117e+000,9.8184685131e+000,5.7888548227e+001,1.3677360732e+001
3.3500000000e+001,1.5755750747e+001,4.3393518721e+000,6.2283681010e+000,3.3811551343e+000,1.1578628249e+001,8.1034865112e+000,2.7725706894e+001,6.9689316407e+000,7.5585905958e+000,7.9787883646e+000,5.7340938242e+000,7.2616400051e+000,1.4240329709e+000,2.2746255470e+001
3.4000000000e+001,7.9729603760e+000,3.2175637847e+000,4.6482737009e+000,3.4076643826e+000,1.1129649789e+001,6.8473166411e+000,1.9080648800e+001,4.3458378921e+000,5.1801724409e+000,7.4482169909e+000,6.3805772907e+000,5.2324959214e+000,4.6927273203e-001,1.4564946378e+001
3.4500000000e+001,1.3559441988e+001,3.7730741826e+000,4.7372964430e+000,4.9715927300e+000,9.0994012909e+000,1.0645086170e+001,2.4996774426e+001,6.9196478216e+000,1.1514805041e+001,8.5006124107e+000,6.5304077069e+000,5.5962985996e+000,6.2186945035e-001,1.5941533536e+001
3.5000000000e+001,1.6179284279e+001,5.3705487998e+000,4.5832268309e+000,4.0735889258e+000,1.0560604607e+001,7.6632165770e+000,1.9287084814e+001,7.0827425639e+000,1.1729158063e+001,1.2084310769e+001,9.9389068055e+000,9.6778152523e+000,4.4768652643e-001,2.3172718392e+001
3.5500000000e+001,1.2597069196e+001,4.6721771073e+000,5.5191618895e+000,3.4400275384e+000,1.2885167748e+001,1.3001932171e+001,3.0950634919e+001,5.7894757541e+000,9.3907688622e+000,1.0099952221e+001,9.1892780412e+000,9.3318427093e+000,5.0208996893e-001,1.5867655511e+001
3.6000000000e+001,1.6603230046e+001,6.4136860334e+000,8.0103610848e+000,6.2727732256e+000,1.6255596929e+001,1.4336077647e+001,2.1469711215e+001,5.2271701983e+000,1.8805092279e+001,2.7066137771e+001,1.2978189706e+001,9.3751213510e+000,4.0639553979e-001,1.5253254720e+001
3.6500000000e+001,9.5183884489e+000,5.7686701886e+000,6.5766852569e+000,3.8782423015e+000,1.2082886738e+001,9.9510543559e+000,1.9324511818e+001,4.7679469841e+000,1.4654700571e+001,1.9872403424e+001,9.6708988554e+000,7.3184542468e+000,6.8943276077e-001,2.0640637784e+001
3.7000000000e+001,1.7851502742e+001,4.0627611417e+000,5.0718192595e+000,5.5571270827e+000,1.1734987521e+001,1.7944917199e+001,2.9302892777e+001,5.7123966294e+000,2.1878875117e+001,2.4381096716e+001,7.0659790421e+000,1.2738113413e+001,6.6179222535e-001,3.1013687428e+001
3.7500000000e+001,1.6604062241e+001,5.4213648751e+000,7.3327643954e+000,5.8831174640e+000,7.1315395235e+000,1.5088577511e+001,4.0514957939e+001,7.5438647381e+000,6.3806022734e+000,1.1774280782e+001,6.0535878581e+000,1.4476473986e+001,5.7154303258e+003,1.8305428214e+001
3.8000000000e+001,2.0905460447e+001,7.8241573667e+000,9.8756953821e+000,4.7622541179e+000,1.2117306833e+001,1.0805355057e+001,2.1964310233e+001,6.7283344426e+000,8.4257075770e+000,1.4527175251e+001,1.1642798244e+001,1.8794416670e+001,9.3075660006e+003,1.9460580049e+001
3.8500000000e+001,3.2851242393e+001,4.9860796649e+000,6.7386004200e+000,5.9604913019e+000,8.9914820386e+000,1.1274651614e+001,3.5119243150e+001,1.0276784193e+001,5.7946308016e+000,1.1351524802e+001,8.9071408413e+000,1.1147382558e+001,7.5376806366e+003,2.3707684239e+001
3.9000000000e+001,2.3803017990e+001,6.9649244298e+000,1.0803031657e+001,5.3972236815e+000,1.1538490208e+001,1.4689287225e+001,2.2647369155e+001,5.1773435144e+000,1.0915586691e+001,1.2537915538e+001,1.0533550285e+001,2.0727055889e+001,1.0969780065e+004,2.6770298499e+001
3.9500000000e+001,3.8527137154e+001,5.2410426134e+000,2.2284137363e+001,9.0595332335e+000,1.5329117423e+001,1.2025004947e+001,3.8759887275e+001,7.3521606071e+000,1.5209856025e+001,1.4512296526e+001,1.2954313033e+001,1.7085153343e+001,2.7953950211e+002,3.6993296470e+001
4.0000000000e+001,2.3215720402e+001,6.7603495248e+000,1.8268171009e+001,8.7076113123e+000,1.3831047700e+001,1.0344370942e+001,2.7338726338e+001,7.9476542725e+000,1.2485682870e+001,1.3507105452e+001,1.1482457974e+001,2.2509108015e+001,2.8237487410e+003,3.4884292862e+001
4.0500000000e+001,3.7079968612e+001,7.7091070321e+000,1.7742347820e+001,6.4694793847e+000,1.9279939146e+001,1.3167213962e+001,3.2495675988e+001,1.0414276813e+001,1.2919662685e+001,1.4284678547e+001,1.4422757834e+001,5.2892506028e+000,2.4777521530e+003,2.6589700362e+001
4.1000000000e+001,1.8551827680e+001,8.0556635391e+000,7.0425382173e+000,5.1190980228e+000,9.5599561601e+000,1.3749805733e+001,2.2118244516e+001,6.0244239763e+000,6.1022520198e+000,1.0292768184e+001,7.5734660988e+000,9.6779722221e+000,9.5178708550e+002,2.8329932879e+001
4.1500000000e+001,1.7722391322e+001,7.4183210635e+000,5.5213541512e+000,3.4454624260e+000,1.1298305285e+001,1.2444192635e+001,1.9262282602e+001,8.2049367388e+000,1.6916228437e+001,1.6442964584e+001,1.0757139493e+001,7.2703656261e+000,2.6252593027e+001,1.7783627357e+001
4.2000000000e+001,2.2169302555e+001,7.2832930528e+000,7.2354373875e+000,3.9829267390e+000,1.6701349101e+001,1.2983025395e+001,2.6830026242e+001,7.4948901142e+000,2.1423832148e+001,1.7533022983e+001,1.1140224520e+001,1.1422795621e+001,8.9180353425e-001,2.4808415583e+001
